年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2025,1,1,16.5,C
2025,1,2,16.4,C
2025,1,3,13.3,C
2025,1,4,13.4,C
2025,1,5,14.9,C
2025,1,6,12.0,C
2025,1,7,13.3,C
2025,1,8,15.3,C
2025,1,9,13.3,C
2025,1,10,11.2,C
2025,1,11,10.0,C
2025,1,12,8.2,C
2025,1,13,10.2,C
2025,1,14,14.1,C
2025,1,15,14.3,C
2025,1,16,11.0,C
2025,1,17,10.1,C
2025,1,18,11.2,C
2025,1,19,11.2,C
2025,1,20,11.8,C
2025,1,21,12.3,C
2025,1,22,14.9,C
2025,1,23,16.8,C
2025,1,24,15.1,C
2025,1,25,15.4,C
2025,1,26,15.0,C
2025,1,27,9.6,C
2025,1,28,9.0,C
2025,1,29,10.8,C
2025,1,30,12.2,C
2025,1,31,14.1,C
2025,2,1,16.2,C
2025,2,2,17.5,C
2025,2,3,16.4,C
2025,2,4,12.5,C
2025,2,5,12.0,C
2025,2,6,14.6,C
2025,2,7,14.8,C
2025,2,8,12.3,C
2025,2,9,10.6,C
2025,2,10,11.0,C
2025,2,11,14.4,C
2025,2,12,17.0,C
2025,2,13,***,
2025,2,14,16.7,C
2025,2,15,15.6,C
2025,2,16,16.0,C
2025,2,17,16.8,C
2025,2,18,15.5,C
2025,2,19,16.3,C
2025,2,20,16.4,C
2025,2,21,16.3,C
2025,2,22,15.3,C
2025,2,23,16.2,C
2025,2,24,13.2,C
2025,2,25,14.0,C
2025,2,26,15.8,C
2025,2,27,15.0,C
2025,2,28,15.8,C
2025,3,1,18.6,C
2025,3,2,20.3,C
2025,3,3,19.7,C
2025,3,4,21.0,C
2025,3,5,20.5,C
2025,3,6,16.3,C
2025,3,7,14.1,C
2025,3,8,14.3,C
2025,3,9,14.8,C
2025,3,10,17.0,C
2025,3,11,17.9,C
2025,3,12,20.6,C
2025,3,13,20.7,C
2025,3,14,21.4,C
2025,3,15,20.5,C
2025,3,16,15.6,C
2025,3,17,14.5,C
2025,3,18,15.1,C
2025,3,19,13.5,C
2025,3,20,14.6,C
2025,3,21,14.8,C
2025,3,22,15.6,C
2025,3,23,15.9,C
2025,3,24,16.9,C
2025,3,25,17.3,C
2025,3,26,19.6,C
2025,3,27,21.4,C
2025,3,28,23.7,C
2025,3,29,18.3,C
2025,3,30,15.1,C
2025,3,31,14.5,C
2025,4,1,14.1,C
2025,4,2,13.3,C
2025,4,3,14.5,C
2025,4,4,16.1,C
2025,4,5,18.8,C
2025,4,6,18.2,C
2025,4,7,17.4,C
2025,4,8,18.8,C
2025,4,9,19.8,C
2025,4,10,21.4,C
2025,4,11,21.3,C
2025,4,12,23.7,C
2025,4,13,17.8,C
2025,4,14,16.8,C
2025,4,15,17.0,C
2025,4,16,18.7,C
2025,4,17,20.2,C
2025,4,18,22.5,C
2025,4,19,24.3,C
2025,4,20,24.5,C
